crit		$deadline_reached$
0		1.04750212511
0		1.045868094
0		1.04423406289
0		1.04260003178
0		1.04096600067
0		1.03933196956
0		1.03769793844
0		1.03606390733
0		1.03442987622
0		1.03279584511
0		1.031161814
0		1.02952778289
0		1.02789375178
0		1.02625972066
0		1.02462568955
0		1.02299165844
0		1.02135762733
0		1.01972359622
0		1.01808956511
0		1.01645553399
0		1.01482150288
0		1.01318747177
0		1.01155344066
0		1.00991940955
0		1.00828537844
0		1.00665134732
0		1.00501731621
0		1.0033832851
0		1.00174925399
0		1.00011522288
0		0.998481191767
0		0.996847160655
0		0.995213129544
0		0.993579098432
0		0.991945067321
0		0.990311036209
0		0.988677005097
0		0.987042973986
0		0.985408942874
0		0.983774911763
0		0.982140880651
0		0.98050684954
0		0.978872818428
0		0.977238787316
0		0.975604756205
0		0.973970725093
0		0.972336693982
0		0.97070266287
0		0.969068631758
0		0.967434600647
0		0.965800569535
0		0.964166538424
0		0.962532507312
0		0.960898476201
0		0.959264445089
0		0.957630413977
0		0.955996382866
0		0.954362351754
0		0.952728320643
0		0.951094289531
0		0.94946025842
0		0.947826227308
0		0.946192196196
0		0.944558165085
0		0.942924133973
0		0.941290102862
0		0.93965607175
0		0.938022040639
0		0.936388009527
0		0.934753978415
0		0.933119947304
0		0.931485916192
0		0.929851885081
0		0.928217853969
0		0.926583822857
0		0.924949791746
0		0.923315760634
0		0.921681729523
0		0.920047698411
0		0.9184136673
0		0.916779636188
0		0.915145605076
0		0.913511573965
0		0.911877542853
0		0.910243511742
0		0.90860948063
0		0.906975449519
0		0.905341418407
0		0.903707387295
0		0.902073356184
0		0.900439325072
0		0.898805293961
0		0.897171262849
0		0.895537231737
0		0.893903200626
0		0.892269169514
0		0.890635138403
0		0.889001107291
0		0.88736707618
0		0.885733045068
0		0.884099013956
0		0.882464982845
0		0.880830951733
0		0.879196920622
0		0.87756288951
0		0.875928858399
0		0.874294827287
0		0.872660796175
0		0.871026765064
0		0.869392733952
0		0.867758702841
0		0.866124671729
0		0.864490640618
0		0.862856609506
0		0.861222578394
0		0.859588547283
0		0.857954516171
0		0.85632048506
0		0.854686453948
0		0.853052422836
0		0.851418391725
0		0.849784360613
0		0.848150329502
0		0.84651629839
0		0.844882267279
0		0.843248236167
0		0.841614205055
0		0.839980173944
0		0.838346142832
0		0.836712111721
0		0.835078080609
